subj,block,trial,reach_dur_s,grasp_dur_s,pull_dur_s,mvt_dur_s,peak_reach_vel,peak_pull_vel,reach_beta_db,grip_beta_db,reach_lowbeta_db,reach_highbeta_db
wue10,2,9,1.3975,0.605,1.5175,3.52,0.41354187143552,0.402231952925874,-0.340315,-4.556217,2.38388,-2.31576
wue10,2,10,1.3975,0.595,1.4075,3.4,0.430452593370164,0.449348250584148,0.5875144,-2.319966,1.677568,-0.08706063
wue10,2,11,1.4125,0.6425,1.5375,3.5925,0.425149171449782,0.384855950831639,-2.473591,-1.845163,-0.5914023,-3.831898
wue11,1,1,1.0075,0.2725,0.91,2.19,0.677643390308478,0.785066504114524,-1.951616,-3.722449,-0.1041899,-2.772834
wue11,1,2,0.925,0.34,0.9325,2.1975,0.731265324733266,0.789332738939831,-4.699429,-2.737459,-2.038795,-5.441383
wue11,1,3,0.975,0.345,0.9325,2.2525,0.712121138147098,0.772019046575032,0.8948612,-6.331851,-1.471685,1.98498
wue11,1,4,0.965,0.375,0.9275,2.2675,0.700153222948215,0.714647672651881,-1.015425,-0.3884417,-1.640504,-0.5299666
wue11,1,5,0.9725,0.43,0.91,2.3125,0.690920857342274,0.721779954078247,-4.795899,-3.776662,-5.111501,-4.446011
wue11,1,6,1.055,0.49,0.965,2.51,0.610258993151664,0.761010366811706,0.07071371,-3.113341,-3.77433,1.099628
wue11,1,7,1,0.44,1.02,2.46,0.641367365570428,0.729205737925119,-2.095725,-0.8324284,0.2594432,-3.923941
wue11,1,8,1.0575,0.4,1.0425,2.5,0.65692569842476,0.686526624773706,-3.445219,-3.332267,-1.583921,-4.228775
wue11,1,9,1.1,0.3825,1.085,2.5675,0.597370684096856,0.665077050972719,-3.843866,-5.14976,-3.407193,-3.274729
wue11,1,10,1.1525,0.29,1.0675,2.51,0.591649572641974,0.592280874983231,-5.047594,-2.247569,-4.307155,-5.596888
wue11,2,1,1.105,0.3,0.945,2.35,0.690881186626253,0.736759296494905,-0.6807675,-4.625803,-2.881433,0.4088301
wue11,2,2,0.9975,0.365,0.9075,2.27,0.691459628536565,0.743264119862007,-2.964405,-1.571298,-4.467659,-1.845413
wue11,2,3,1.0475,0.4025,1.2075,2.6575,0.735686308659131,0.572440074938659,-0.2731607,-2.504956,1.619682,-1.974475
wue11,2,4,1.0475,0.4575,1.11,2.615,0.665338401316652,0.651490985954633,-2.419584,-3.412702,-1.56796,-2.602971
wue11,2,5,1.04,0.365,0.955,2.36,0.629743793135442,0.726462380154876,-1.175983,-0.5705645,-1.590355,-0.6977448
wue11,2,6,0.935,0.3825,1.0025,2.32,0.712189247608774,0.695330196692552,-3.829839,0.2813736,-1.129603,-5.077787
wue11,2,7,1.09,0.4375,1.005,2.5325,0.627869507223205,0.685262508292016,0.1410112,1.401113,1.827602,-1.231572
wue11,2,8,1.05,0.62,1.0325,2.7025,0.631510680791877,0.672006635580332,-1.305937,-0.2949916,0.04489212,-2.524693
wue11,2,9,1.1225,0.565,0.9975,2.685,0.621212448309468,0.651751892468455,-2.549435,-1.847233,-1.288366,-3.392354
wue11,2,10,1.03,0.3925,1.105,2.5275,0.672827726572564,0.64218593206393,-3.421776,0.5448843,-4.879139,-2.686188
wue11,2,11,1.1075,0.3375,1.07,2.515,0.620731223319027,0.623563683999781,-1.484516,-3.03727,-1.092531,-1.939136
wue11,2,12,1.27,0.2975,1.1225,2.69,0.525746851032416,0.574686330681655,-2.490801,-0.7233235,-1.793289,-2.959959
wue11,2,13,0.995,0.21,1.0775,2.2825,0.669642650527215,0.577917953811969,-2.444987,1.051156,-0.09021805,-3.199988
wue11,3,1,1.0975,0.2375,1.115,2.45,0.685736568280711,0.694330884145098,-1.776562,-1.138799,1.32217,-2.401598
wue11,3,2,1.0625,0.3025,0.9925,2.3575,0.680839672578685,0.69479007894493,-0.9563157,1.275064,1.7297,-1.950583
wue11,3,3,1.0175,0.535,0.9625,2.515,0.651607169952431,0.68648021504025,1.095613,1.194085,2.540801,0.6371057
wue11,3,4,1.295,0.38,1.0875,2.7625,0.581933894974517,0.619187997643481,0.4629758,-0.04280615,4.126307,-1.885876
wue11,3,5,1.09,0.3175,1.0825,2.49,0.637861756210356,0.65611101198877,-2.337984,1.005051,0.4845761,-2.954599
wue11,3,6,1.1,0.35,1.1625,2.6125,0.661601749602679,0.629056894315275,-1.571218,-0.6451178,3.222526,-6.565749
wue11,3,7,1.1825,0.2725,1.055,2.51,0.589652921667167,0.619033292708418,-2.538282,-1.786911,1.010073,-4.56707
wue11,3,8,1.11,0.4125,1.025,2.5475,0.645262103361423,0.676242631328104,-1.7919,2.609776,0.7496906,-2.496539
wue11,3,9,1.11,0.3625,1.1,2.5725,0.580773000821741,0.640653239877473,-5.026007,0.7069329,-2.842427,-6.036582
wue11,3,10,1.115,0.48,1.115,2.71,0.59007888895156,0.661573467602469,-0.7796972,3.02053,1.121716,-0.4855502
wue11,3,11,1.0575,0.58,1.1625,2.8,0.642588691683743,0.637945009461619,0.3618073,0.3667821,3.225053,-0.4865151
wue11,3,12,1.0925,0.535,1.1025,2.73,0.593338683688532,0.63007368512677,-7.308321,1.380429,-6.140814,-7.517809
